data,temp_media,temp_max,temp_min,precipitacao,umidade_relativa,radiacao_solar,evapotranspiracao,vento,ndvi,ph_solo,carbono_organico,argila,areia,altitude,latitude,longitude,id_fazenda
20170605,23.14,29.42,18.43,0.31,72.29,18.43,2.3,3.32,0.39594445204447815,66.9885524377891,230.45634766971693,220,593,442.0,-9.9,-39.0,BA_Canudos
20170606,23.02,29.6,17.9,1.41,75.7,14.37,1.96,3.22,0.3962355370030066,66.98313759885447,230.959414682417,220,593,442.0,-9.9,-39.0,BA_Canudos
20170607,23.01,29.14,18.79,2.21,76.37,14.72,1.79,3.48,0.3965266219615351,66.98597216751197,231.93048407404137,220,593,442.0,-9.9,-39.0,BA_Canudos
20170608,23.31,29.94,17.91,0.63,75.19,15.21,2.07,2.84,0.3968177069200635,66.99177270591643,231.6141512298566,220,593,442.0,-9.9,-39.0,BA_Canudos
20170609,24.37,31.13,19.5,0.56,73.39,17.19,2.25,2.96,0.397108791878592,67.00011731503083,230.74146372912708,220,593,442.0,-9.9,-39.0,BA_Canudos
20170610,24.95,31.81,19.73,0.0,69.01,18.75,2.45,2.4,0.3973998768371204,66.9897008718937,229.61001724024496,220,593,442.0,-9.9,-39.0,BA_Canudos
20170611,24.61,30.54,20.53,0.48,74.03,17.21,1.7,3.05,0.3976909617956489,66.98143035334817,229.85061379862563,220,593,442.0,-9.9,-39.0,BA_Canudos
20170612,23.76,29.93,19.77,0.21,72.25,19.94,1.69,3.5,0.39798204675417737,66.93103583040734,231.00054384162374,220,593,442.0,-9.9,-39.0,BA_Canudos
20170613,23.17,29.74,19.63,6.85,80.26,13.17,1.1,3.76,0.3982731317127058,66.94980088197265,231.73223086122434,220,593,442.0,-9.9,-39.0,BA_Canudos
20170614,22.39,28.75,18.22,1.26,72.5,18.77,1.74,3.36,0.39856421667123426,66.95821551415172,231.47416934467068,220,593,442.0,-9.9,-39.0,BA_Canudos
20170615,22.09,28.76,16.97,0.8,73.42,12.65,1.7,3.47,0.3988553016297627,67.02077502088228,232.15281523648295,220,593,442.0,-9.9,-39.0,BA_Canudos
20170616,22.56,28.72,18.3,2.03,76.67,15.68,1.46,3.67,0.39914638658829116,67.0113321878162,232.84799682474946,220,593,442.0,-9.9,-39.0,BA_Canudos
20170617,22.22,28.11,18.79,4.5,78.97,15.97,1.23,3.82,0.39943747154681963,67.03197748275382,232.7574909280667,220,593,442.0,-9.9,-39.0,BA_Canudos
20170618,22.12,27.81,18.65,8.41,83.69,12.87,1.06,3.84,0.39972855650534805,66.98644728327922,232.08945217117966,220,593,442.0,-9.9,-39.0,BA_Canudos
20170619,21.7,26.98,17.18,3.29,78.06,13.09,1.81,3.47,0.40001964146387653,67.0099198288592,232.45663711303214,220,593,442.0,-9.9,-39.0,BA_Canudos
20170620,22.1,28.99,17.06,5.7,82.1,12.43,2.06,3.67,0.40031072642240495,67.02329717499417,232.00696918144354,220,593,442.0,-9.9,-39.0,BA_Canudos
20170621,21.92,26.63,18.1,3.63,80.23,12.77,2.12,4.15,0.4006018113809334,67.02908043294065,231.8621790945829,220,593,442.0,-9.9,-39.0,BA_Canudos
20170622,21.48,27.33,17.31,1.3,78.46,18.46,2.66,3.81,0.4008928963394619,67.01267006774586,230.8634825187169,220,593,442.0,-9.9,-39.0,BA_Canudos
20170623,22.29,28.13,19.04,5.38,82.35,12.25,2.1,4.15,0.4011839812979903,66.98487257721712,230.7140975387108,220,593,442.0,-9.9,-39.0,BA_Canudos
20170624,22.02,27.07,18.63,4.22,81.36,14.12,2.25,3.71,0.4014750662565188,66.99809995318282,230.42674862143926,220,593,442.0,-9.9,-39.0,BA_Canudos
20170625,21.43,26.73,17.96,2.53,80.66,15.38,2.51,3.59,0.4017661512150472,67.01738572984063,229.76450438730524,220,593,442.0,-9.9,-39.0,BA_Canudos
20170626,21.12,26.63,17.53,2.15,80.85,15.86,2.48,3.93,0.4020572361735757,67.01058995362781,230.89644487818848,220,593,442.0,-9.9,-39.0,BA_Canudos
20170627,21.22,26.89,17.74,0.49,78.25,16.72,2.73,3.81,0.40234832113210417,67.02358836978077,230.7394612064039,220,593,442.0,-9.9,-39.0,BA_Canudos
20170628,21.49,27.55,17.15,0.28,76.28,15.24,2.71,3.89,0.4026394060906326,67.01048569579304,231.55875873479485,220,593,442.0,-9.9,-39.0,BA_Canudos
20170629,22.05,28.0,18.07,3.73,81.24,10.02,1.95,4.04,0.40293049104916107,67.04715652016039,231.547941011061,220,593,442.0,-9.9,-39.0,BA_Canudos
20170630,22.26,27.95,18.9,9.15,85.65,10.95,1.42,3.54,0.4032215760076895,67.03529476435189,232.7587910988716,220,593,442.0,-9.9,-39.0,BA_Canudos
20170701,22.43,28.02,19.28,2.92,82.92,12.16,2.2,3.71,0.40351266096621796,67.00850334540324,232.65715630706995,220,593,442.0,-9.9,-39.0,BA_Canudos
20170702,21.72,27.88,18.02,5.22,78.8,12.25,2.93,3.89,0.40380374592474644,66.99410290796193,231.89624406575584,220,593,442.0,-9.9,-39.0,BA_Canudos
20170703,20.6,25.54,17.65,4.42,81.77,13.52,2.22,4.84,0.40409483088327486,66.98862248739577,231.4460749008775,220,593,442.0,-9.9,-39.0,BA_Canudos
20170704,19.61,24.79,16.58,1.4,80.3,12.2,2.06,5.56,0.4043859158418033,67.00732948348207,231.68148661104374,220,593,442.0,-9.9,-39.0,BA_Canudos
20170705,20.06,25.63,16.62,0.77,76.74,11.34,2.41,4.8,0.40467700080033175,67.00410839115817,230.98154874608045,220,593,442.0,-9.9,-39.0,BA_Canudos
20170706,20.54,26.23,16.19,1.28,77.63,15.57,2.58,4.27,0.40496808575886023,66.990985475758,231.60950738637322,220,593,442.0,-9.9,-39.0,BA_Canudos
20170707,20.97,26.44,17.34,0.54,76.11,10.6,2.31,4.46,0.4052591707173887,66.99252295938005,231.493202244322,220,593,442.0,-9.9,-39.0,BA_Canudos
20170708,20.31,26.34,15.91,3.81,78.34,13.61,2.48,4.41,0.4055502556759171,66.97520780560514,232.80126291282602,220,593,442.0,-9.9,-39.0,BA_Canudos
20170709,20.06,25.7,16.37,3.18,77.5,14.23,2.22,3.8,0.40584134063444555,66.99953102525309,231.93982091972703,220,593,442.0,-9.9,-39.0,BA_Canudos
20170710,20.85,27.21,15.7,2.12,79.78,17.19,2.92,3.4,0.406132425592974,66.99729157897349,232.12354653027353,220,593,442.0,-9.9,-39.0,BA_Canudos
20170711,21.36,26.47,17.04,3.51,79.32,12.47,2.27,4.42,0.4064235105515025,67.00832357914783,231.4689209159208,220,593,442.0,-9.9,-39.0,BA_Canudos
20170712,20.35,26.59,16.18,0.92,76.59,18.64,2.67,3.89,0.406714595510031,66.99971419395509,231.69697458501264,220,593,442.0,-9.9,-39.0,BA_Canudos
20170713,20.35,25.93,15.39,2.6,79.01,13.46,2.18,3.99,0.4070056804685594,67.0133369163979,231.80649064221893,220,593,442.0,-9.9,-39.0,BA_Canudos
20170714,19.55,26.34,14.7,0.48,75.06,20.99,2.67,3.81,0.4072967654270878,67.00303247643478,232.48483688592583,220,593,442.0,-9.9,-39.0,BA_Canudos
20170715,19.79,25.77,15.12,1.62,75.97,13.98,2.24,3.77,0.4075878503856163,67.02036306308297,231.1082142858612,220,593,442.0,-9.9,-39.0,BA_Canudos
20170716,20.23,26.91,15.73,0.19,71.62,18.82,2.85,3.83,0.40787893534414477,67.02943971059905,229.84451965219776,220,593,442.0,-9.9,-39.0,BA_Canudos
20170717,19.9,26.22,15.27,0.12,74.74,17.24,2.16,3.54,0.4081700203026732,67.06866911837703,229.3580211689496,220,593,442.0,-9.9,-39.0,BA_Canudos
20170718,20.52,26.78,16.23,0.47,72.2,16.01,2.17,3.18,0.40846110526120166,67.03355254873578,230.00321963798714,220,593,442.0,-9.9,-39.0,BA_Canudos
20170719,20.44,26.39,15.28,0.78,78.69,13.63,1.69,3.03,0.4087521902197301,67.01930591444561,231.63999920177153,220,593,442.0,-9.9,-39.0,BA_Canudos
20170720,21.37,27.92,17.09,2.56,79.42,12.71,1.68,3.87,0.40904327517825856,66.96156476262176,230.97425946954039,220,593,442.0,-9.9,-39.0,BA_Canudos
20170721,22.22,28.38,18.34,1.64,78.67,14.83,1.65,4.05,0.40933436013678703,66.9578838838451,231.83603566535533,220,593,442.0,-9.9,-39.0,BA_Canudos
20170722,22.53,28.92,18.22,0.47,71.79,16.29,2.21,3.5,0.40962544509531545,66.96725049303217,229.8990352848648,220,593,442.0,-9.9,-39.0,BA_Canudos
20170723,22.0,28.77,18.11,2.24,77.6,11.01,1.82,4.19,0.40991653005384393,66.99173338151463,229.4706837687552,220,593,442.0,-9.9,-39.0,BA_Canudos
20170724,21.51,27.33,18.01,3.23,76.71,14.51,1.56,4.26,0.41020761501237235,66.99434690068779,228.8604299306844,220,593,442.0,-9.9,-39.0,BA_Canudos
20170725,21.19,27.6,17.14,0.98,75.11,17.27,1.76,4.58,0.4104986999709008,66.99490067138693,230.20820323545755,220,593,442.0,-9.9,-39.0,BA_Canudos
20170726,21.25,27.61,16.83,1.8,78.85,16.68,1.63,4.38,0.4107897849294293,67.00246241400572,231.65012844265516,220,593,442.0,-9.9,-39.0,BA_Canudos
20170727,21.44,27.29,17.24,0.28,71.06,12.84,1.86,4.07,0.4110808698879577,66.97868407384476,232.31617537655026,220,593,442.0,-9.9,-39.0,BA_Canudos
20170728,20.98,27.76,16.56,2.52,76.86,12.23,1.37,4.34,0.4113719548464862,66.9841364845463,232.29424244947242,220,593,442.0,-9.9,-39.0,BA_Canudos
20170729,20.41,26.32,16.77,2.29,73.79,20.88,1.52,4.62,0.4116630398050146,66.97954679718647,231.80784254741442,220,593,442.0,-9.9,-39.0,BA_Canudos
20170730,20.17,25.93,16.7,4.69,79.41,14.71,1.25,4.82,0.4119541247635431,67.01032522487564,230.62680155139046,220,593,442.0,-9.9,-39.0,BA_Canudos
20170731,20.22,26.83,15.36,0.66,74.33,20.3,1.73,3.5,0.41224520972207157,66.96951171008023,229.2325774642784,220,593,442.0,-9.9,-39.0,BA_Canudos
20170801,21.32,28.4,16.6,0.63,77.45,16.49,1.88,3.42,0.4125362946806,66.97619454292666,229.7462634801477,220,593,442.0,-9.9,-39.0,BA_Canudos
20170802,22.2,29.12,17.35,0.59,75.81,14.98,1.93,3.12,0.41282737963912847,66.97726693452887,229.68820132756204,220,593,442.0,-9.9,-39.0,BA_Canudos
20170803,23.09,30.2,17.68,0.05,70.67,17.17,2.31,2.89,0.4131184645976569,66.99719343729976,230.9647894720141,220,593,442.0,-9.9,-39.0,BA_Canudos
20170804,23.92,31.76,17.41,0.01,67.66,23.09,2.5,2.67,0.41340954955618536,66.99039417889428,231.08592739036553,220,593,442.0,-9.9,-39.0,BA_Canudos
20170805,23.21,30.55,17.82,0.01,69.89,23.18,1.91,3.36,0.4115721418814732,67.00717289782047,233.68250325406777,220,593,442.0,-9.9,-39.0,BA_Canudos
20170806,23.04,29.86,18.29,0.12,71.39,18.93,1.73,3.92,0.409734734206761,67.0144259702616,233.5363952514881,220,593,442.0,-9.9,-39.0,BA_Canudos
20170807,22.29,29.21,17.66,0.1,70.39,16.22,1.51,4.13,0.4078973265320488,67.03876123176795,232.21712659660955,220,593,442.0,-9.9,-39.0,BA_Canudos
20170808,22.52,29.8,17.22,0.07,70.2,14.57,1.44,3.77,0.40605991885733667,67.00040644565969,230.3111682493571,220,593,442.0,-9.9,-39.0,BA_Canudos
20170809,23.95,31.43,18.14,0.12,68.78,17.7,1.63,2.91,0.4042225111826245,66.98607321653303,229.14809715709137,220,593,442.0,-9.9,-39.0,BA_Canudos
20170810,24.49,32.3,18.8,0.07,66.48,22.17,1.67,3.11,0.4023851035079123,66.97887043508926,229.77850849904635,220,593,442.0,-9.9,-39.0,BA_Canudos
20170811,23.82,31.29,18.63,0.02,64.34,21.72,1.5,3.42,0.4005476958332001,67.04283479688787,229.69065661062143,220,593,442.0,-9.9,-39.0,BA_Canudos
20170812,22.8,30.04,17.88,0.11,66.47,21.21,1.12,3.97,0.3987102881584879,67.07181626876702,231.00673330624394,220,593,442.0,-9.9,-39.0,BA_Canudos
20170813,23.04,31.12,17.18,0.01,66.83,18.07,1.09,3.58,0.3968728804837757,67.06221762150753,231.92300126754205,220,593,442.0,-9.9,-39.0,BA_Canudos
20170814,22.47,30.23,16.96,0.0,63.19,22.61,0.95,3.53,0.3950354728090636,67.04248018677366,232.38563231567295,220,593,442.0,-9.9,-39.0,BA_Canudos
20170815,22.0,30.19,15.7,0.21,69.78,19.18,0.77,3.75,0.3931980651343514,67.03714307040167,231.8212269950884,220,593,442.0,-9.9,-39.0,BA_Canudos
20170816,22.71,30.52,16.86,0.16,67.51,18.61,0.77,3.5,0.3913606574596392,67.01911019332803,231.91321403361283,220,593,442.0,-9.9,-39.0,BA_Canudos
20170817,23.61,31.23,17.9,0.15,67.11,18.61,0.75,3.44,0.38952324978492703,67.01467190847254,232.28752896055676,220,593,442.0,-9.9,-39.0,BA_Canudos
20170818,24.06,31.84,18.52,0.58,70.2,18.57,0.68,3.94,0.38768584211021484,66.98447898666359,232.185271588864,220,593,442.0,-9.9,-39.0,BA_Canudos
20170819,23.77,30.89,19.02,1.25,69.81,14.31,0.57,3.93,0.38584843443550265,66.99636537931181,230.19148189065427,220,593,442.0,-9.9,-39.0,BA_Canudos
20170820,23.67,31.07,18.41,2.01,69.52,14.44,0.6,3.44,0.38401102676079046,66.97808205664124,227.86914671323052,220,593,442.0,-9.9,-39.0,BA_Canudos
20170821,24.35,32.1,18.55,0.27,67.99,17.98,0.71,3.73,0.38217361908607833,67.00214205846329,228.84116844606265,220,593,442.0,-9.9,-39.0,BA_Canudos
20170822,23.1,29.9,18.75,2.14,67.91,16.62,0.54,4.82,0.38033621141136614,66.9910510094893,230.61762496702977,220,593,442.0,-9.9,-39.0,BA_Canudos
20170823,22.33,29.0,18.24,5.2,76.8,15.09,0.41,4.64,0.37849880373665395,67.00040772566518,231.81913215694374,220,593,442.0,-9.9,-39.0,BA_Canudos
20170824,22.15,29.41,18.15,5.32,79.0,14.34,0.58,4.56,0.37666139606194177,66.97571339469403,231.39565429217953,220,593,442.0,-9.9,-39.0,BA_Canudos
20170825,22.2,29.18,17.55,0.84,71.17,14.29,1.05,4.33,0.3748239883872296,66.97838783650693,231.08155768914983,220,593,442.0,-9.9,-39.0,BA_Canudos
20170826,21.74,29.48,15.59,0.13,67.23,21.01,1.27,3.8,0.3729865807125174,66.99653095701888,231.55477514143408,220,593,442.0,-9.9,-39.0,BA_Canudos
20170827,22.02,29.7,16.12,1.46,70.11,18.85,1.2,3.85,0.37114917303780526,66.98232275444876,231.8176766202604,220,593,442.0,-9.9,-39.0,BA_Canudos
20170828,22.46,29.8,17.63,0.99,69.59,16.42,1.13,3.95,0.36931176536309307,66.98947182767455,232.8608840916995,220,593,442.0,-9.9,-39.0,BA_Canudos
20170829,22.18,29.95,16.65,1.7,70.27,17.95,1.04,3.62,0.3674743576883809,66.9934925098558,232.55121913462017,220,593,442.0,-9.9,-39.0,BA_Canudos
20170830,22.72,30.19,17.08,0.59,68.82,18.07,1.16,3.53,0.3656369500136687,67.03931051206244,232.4275302990392,220,593,442.0,-9.9,-39.0,BA_Canudos
20170831,23.9,32.02,17.6,0.07,66.35,24.05,1.33,3.33,0.3637995423389565,67.03971082723622,230.64045595602056,220,593,442.0,-9.9,-39.0,BA_Canudos
20170901,23.55,31.29,18.09,0.25,65.66,17.54,1.04,4.3,0.3619621346642443,67.02879769689429,231.47814176705242,220,593,442.0,-9.9,-39.0,BA_Canudos
20170902,22.03,29.81,16.82,0.74,63.8,22.56,0.86,4.33,0.36012472698953213,67.00166207258816,232.37204948761635,220,593,442.0,-9.9,-39.0,BA_Canudos
20170903,21.83,29.08,16.87,1.42,70.21,20.1,0.67,4.8,0.35828731931482,67.01248024838081,232.9077413954595,220,593,442.0,-9.9,-39.0,BA_Canudos
20170904,20.68,25.29,17.72,19.85,83.87,14.96,0.49,5.04,0.3564499116401078,67.02049075502605,232.43546990837578,220,593,442.0,-9.9,-39.0,BA_Canudos
20170905,21.39,27.44,17.52,11.32,82.34,16.33,1.28,4.51,0.3546125039653956,67.03668424350975,232.33770029610514,220,593,442.0,-9.9,-39.0,BA_Canudos
20170906,22.25,28.34,18.67,12.1,84.4,16.76,1.47,3.82,0.35277509629068343,67.04118010024786,231.9191537233246,220,593,442.0,-9.9,-39.0,BA_Canudos
20170907,22.34,28.03,18.4,5.13,78.74,16.66,2.51,4.11,0.35093768861597124,67.0037459414769,231.86893735946174,220,593,442.0,-9.9,-39.0,BA_Canudos
20170908,22.07,28.61,17.79,0.76,74.18,20.89,3.45,4.14,0.34910028094125906,66.98049367455218,229.8744149009493,220,593,442.0,-9.9,-39.0,BA_Canudos
20170909,21.99,28.32,17.19,2.04,74.95,17.23,3.18,4.06,0.3472628732665469,66.97678430919916,230.2251915817637,220,593,442.0,-9.9,-39.0,BA_Canudos
20170910,22.0,29.04,17.4,2.49,74.72,16.88,2.99,4.52,0.34542546559183473,67.03491029556264,229.87924257810155,220,593,442.0,-9.9,-39.0,BA_Canudos
20170911,21.66,28.0,17.86,3.08,73.87,18.23,2.7,4.93,0.34358805791712255,67.0557459147506,231.754795218794,220,593,442.0,-9.9,-39.0,BA_Canudos
20170912,21.26,27.62,17.05,6.69,76.49,17.52,2.25,4.22,0.34175065024241036,67.05747868701776,231.55073927121694,220,593,442.0,-9.9,-39.0,BA_Canudos
20170913,21.66,28.17,17.83,4.4,77.26,17.22,2.51,4.32,0.33991324256769817,66.96733111184354,231.47779174750985,220,593,442.0,-9.9,-39.0,BA_Canudos
20170914,21.49,27.67,17.54,4.01,75.25,17.07,2.52,4.45,0.338075834892986,66.97601258237609,231.7477756443018,220,593,442.0,-9.9,-39.0,BA_Canudos
20170915,21.08,27.32,16.6,2.63,75.4,18.31,2.48,4.36,0.3362384272182738,66.95306641991355,231.7285865821576,220,593,442.0,-9.9,-39.0,BA_Canudos
20170916,21.87,27.82,17.27,3.11,76.32,21.01,2.36,4.35,0.3344010195435616,67.03536888333564,232.3661916032644,220,593,442.0,-9.9,-39.0,BA_Canudos
20170917,22.31,28.76,18.66,7.15,78.57,18.65,2.19,4.4,0.3325636118688495,67.03808334458489,232.24243545281112,220,593,442.0,-9.9,-39.0,BA_Canudos
20170918,22.12,28.35,17.45,2.56,75.06,18.5,2.82,4.51,0.3307262041941373,67.04766994365433,231.98702968081412,220,593,442.0,-9.9,-39.0,BA_Canudos
20170919,21.85,28.48,17.54,2.57,74.21,20.65,2.68,4.54,0.3288887965194251,67.0052079578589,232.13529452737896,220,593,442.0,-9.9,-39.0,BA_Canudos
20170920,22.01,28.77,17.45,1.56,72.47,19.35,3.02,4.26,0.3270513888447129,67.0136766777265,230.69318689807287,220,593,442.0,-9.9,-39.0,BA_Canudos
20170921,21.85,28.61,17.15,3.02,74.64,17.16,2.73,4.51,0.3252139811700007,67.03405519513937,231.51513244539828,220,593,442.0,-9.9,-39.0,BA_Canudos
20170922,21.7,27.71,17.57,6.61,75.2,17.85,2.34,4.1,0.3233765734952886,67.0296989303268,231.5167786478718,220,593,442.0,-9.9,-39.0,BA_Canudos
20170923,21.72,28.56,16.86,0.64,72.29,17.83,2.99,4.17,0.3215391658205764,67.02785319581596,231.6448936613633,220,593,442.0,-9.9,-39.0,BA_Canudos
20170924,21.59,28.91,16.22,2.21,74.41,21.07,2.59,4.16,0.3197017581458642,67.02300401493775,229.69912483752697,220,593,442.0,-9.9,-39.0,BA_Canudos
20170925,21.8,28.41,17.24,4.07,74.6,20.03,2.41,4.12,0.317864350471152,67.04106393570832,228.4164777984463,220,593,442.0,-9.9,-39.0,BA_Canudos
20170926,22.51,29.62,17.09,0.84,71.81,19.94,3.08,4.0,0.31602694279643984,67.03535059774202,228.88654519023294,220,593,442.0,-9.9,-39.0,BA_Canudos
20170927,23.3,30.31,18.48,1.25,71.94,17.52,3.15,3.97,0.31418953512172765,67.02787304778164,229.6882687862587,220,593,442.0,-9.9,-39.0,BA_Canudos
20170928,23.99,31.37,18.86,1.01,70.99,18.19,3.25,4.01,0.31235212744701546,67.00596974084506,230.1189771017579,220,593,442.0,-9.9,-39.0,BA_Canudos
20170929,23.88,31.17,18.55,0.16,70.02,19.92,3.2,4.12,0.31051471977230327,66.9981288130455,230.35616089678115,220,593,442.0,-9.9,-39.0,BA_Canudos
20170930,23.64,31.25,18.05,0.08,66.6,19.4,3.19,3.82,0.30867731209759114,66.98655381551778,230.87666114066687,220,593,442.0,-9.9,-39.0,BA_Canudos
20171001,23.9,32.27,17.48,0.66,66.85,25.02,2.92,4.09,0.30683990442287895,66.98574495113348,231.20466677260728,220,593,442.0,-9.9,-39.0,BA_Canudos
20171002,24.49,32.87,18.46,0.0,66.31,25.86,2.81,4.31,0.30500249674816676,66.96670313617238,230.420567191505,220,593,442.0,-9.9,-39.0,BA_Canudos
20171003,24.71,32.78,18.68,0.27,66.96,22.65,2.48,4.18,0.3031650890734546,66.94118518707641,231.865090801516,220,593,442.0,-9.9,-39.0,BA_Canudos
20171004,24.36,32.23,18.91,0.36,66.93,21.14,2.2,4.62,0.3013276813987424,66.93030465692704,231.32998354909446,220,593,442.0,-9.9,-39.0,BA_Canudos
20171005,23.86,31.49,18.04,0.01,66.11,21.51,1.94,4.71,0.29949027372403025,66.9337537989942,231.74087789355872,220,593,442.0,-9.9,-39.0,BA_Canudos
20171006,23.56,31.76,18.28,1.77,68.19,21.4,1.66,4.54,0.29765286604931807,66.97986272593441,230.84661975717572,220,593,442.0,-9.9,-39.0,BA_Canudos
20171007,23.44,30.69,18.46,2.54,68.85,20.89,1.49,3.89,0.2958154583746059,66.98734427808095,230.63096590009343,220,593,442.0,-9.9,-39.0,BA_Canudos
20171008,23.7,31.06,18.44,0.2,67.6,20.08,1.61,4.4,0.2939780506998937,66.97693756067196,230.67326060264358,220,593,442.0,-9.9,-39.0,BA_Canudos
20171009,23.83,31.77,18.21,0.06,65.78,22.77,1.7,4.41,0.2921406430251815,66.99040980800832,230.17364024417827,220,593,442.0,-9.9,-39.0,BA_Canudos
20171010,23.97,31.99,17.83,0.02,64.68,24.53,1.66,4.32,0.2903032353504693,66.99607116004725,231.38525107973308,220,593,442.0,-9.9,-39.0,BA_Canudos
20171011,24.12,31.68,18.46,0.12,66.78,18.89,1.43,4.26,0.2884658276757571,67.01659244973361,231.40080088509657,220,593,442.0,-9.9,-39.0,BA_Canudos
20171012,24.57,32.32,18.94,0.01,65.17,17.74,1.42,4.19,0.28662842000104494,66.99301578187944,231.1500986970236,220,593,442.0,-9.9,-39.0,BA_Canudos
20171013,24.88,33.02,18.98,0.03,64.77,21.58,1.37,4.19,0.28479101232633275,67.00557767332299,230.8332075053031,220,593,442.0,-9.9,-39.0,BA_Canudos
